브랜드명,Instagram 계정,Instagram URL,X(트위터) 계정,X(트위터) URL,팝업 진행 여부,팝업 상세 내용
에뛰드 (Etude),@etudejapan,https://www.instagram.com/etudejapan/,@etudejapan,https://x.com/etudejapan,O,정기 팝업 진행
롬앤 (rom&nd),@romand_jp,https://www.instagram.com/romand_jp/,@romandyou,https://x.com/romandyou,O,"2025.08 @cosme TOKYO + OSAKA 동시 팝업 (아이메이크 신색 발매 기념)"
fwee (フィー),@fwee_makeup_jp,https://www.instagram.com/fwee_makeup_jp/,@fwee_makeup_jp,https://x.com/fwee_makeup_jp,-,-
원정요 (Wonjungyo),@wonjungyo_official_jp,https://www.instagram.com/wonjungyo_official_jp/,-,-,O,"2025.09 일본바시 Hair POPUP / 2025.12 9브랜드 합동 팝업 (0th Hub Nihonbashi)"
데이지크 (dasique),@dasique_jp,https://www.instagram.com/dasique_jp/,-,-,O,2025.03 오모테산도 봄 시즌 팝업
이니스프리 (innisfree),@innisfreejapan,https://www.instagram.com/innisfreejapan/,@innisfreeJapan,https://twitter.com/innisfreejapan,O,하라주쿠 @cosme TOKYO 정기 팝업 운영
아누아 (Anua),@anua.jp,https://www.instagram.com/anua.jp/,@anua_official,https://x.com/anua_official,-,-
메디큐브 (medicube),@medicube_officialjapan,https://www.instagram.com/medicube_officialjapan/,@medicube_japan,https://x.com/medicube_japan,-,-
CipiCipi (시피시피),@cipicipi_official,https://www.instagram.com/cipicipi_official/,@cipicipi_cosme,https://x.com/cipicipi_cosme,O,"2025.04 rom&Cipi 콜라보 팝업 (일본바시) / 2025.10 NCT WISH 콜라보 팝업 (일본바시)"
TIRTIR,@tirtir_jp_official,https://www.instagram.com/tirtir_jp_official/,-,-,O,"2025.01 @cosme TOKYO 팝업 / 2025.11 시부야 팝업 (신작 쿠션 파운데이션 기념)"
VT Cosmetics,@vtcosmetics_japan,https://www.instagram.com/vtcosmetics_japan/,@vtcosmetics_jp,https://x.com/vtcosmetics_jp,O,"2024.06 다이칸야마 HELLO KEAUTY 팝업 / 2025.07 신주쿠 VT×HEMEKO 팝업"
바이유아 (ByUR),@byurjapan,https://www.instagram.com/byurjapan/,@ByURJapan,https://x.com/byurjapan,-,-
마녀공장 (manyo),@manyo.japan,https://www.instagram.com/manyo.japan/,@manyojapan,https://x.com/manyojapan,O,2025.04 @cosme TOKYO + OSAKA 팝업 (Galac Niacinamide 론칭 기념)
라네즈 (LANEIGE),@laneige_jp,https://www.instagram.com/laneige_jp/,@Laneige_japan,https://x.com/laneige_japan,O,"2024.07 LIP FESTIVAL 팝업 (BTS 진 콜라보) / 2024.11 @cosme TOKYO 팝업"
클리오 (CLIO),@cliojapan,https://www.instagram.com/cliojapan/,@ClioCosmeticsJP,https://x.com/cliocosmeticsjp,-,-
SKIN1004,@skin1004_japan,https://www.instagram.com/skin1004_japan/,@skin1004_jp,https://x.com/skin1004_jp,-,-
미샤 (MISSHA),@missha.jp,https://www.instagram.com/missha.jp/,@missha_japan,https://twitter.com/missha_japan,-,-
어뮤즈 (AMUSE),@amuse.jp,https://www.instagram.com/amuse.jp/,-,-,O,2024.10 하라주쿠 XYZ TOKYO 팝업 (아이브 장원영 콜라보 · 3일간)
트리덴 (Torriden),@torriden_jp,https://www.instagram.com/torriden_jp/,-,-,-,-
페리페라 (peripera),@periperajapan,https://www.instagram.com/periperajapan/,-,-,-,-
muice (ミュアイス),@muice_official,https://www.instagram.com/muice_official/,@muice__official,https://twitter.com/muice__official,O,2025.12 원정요·CipiCipi 등 9브랜드 합동 팝업 (0th Hub Nihonbashi)
COSRX,@cosrx_jp,https://www.instagram.com/cosrx_jp/,@COSRX_JAPAN,https://x.com/COSRX_JAPAN,O,2025.06 오모테산도 HIRO ODAGIRI BEAUTY SELECTED POP UP 참가
네이밍 (NAMING.),@naming.jp,https://www.instagram.com/naming.jp/,@Naming_japan,https://x.com/Naming_japan,-,-
VDL,@vdl_japan,https://www.instagram.com/vdl_japan/,-,-,-,-
클리오 코스메틱스 JP,@cliocosmetics_jp,https://www.instagram.com/cliocosmetics_jp/,-,-,-,-
헉슬리 (Huxley),@huxley_japan,https://www.instagram.com/huxley_japan/,@huxley_japan,https://x.com/huxley_japan,-,-
메디힐 (MEDIHEAL),@mediheal_jp,https://www.instagram.com/mediheal_jp/,@mediheal_jp,https://twitter.com/mediheal_jp,-,-
리리바이레드 (lilybyred),@lilybyred_japan_official,https://www.instagram.com/lilybyred_japan_official/,@lilybyredjp,https://x.com/lilybyredjp,O,"2024.03 @cosme OSAKA 팝업 / 2025.09 신오쿠보 旗艦店 THE LILY HOUSE 오픈"
SOME BY MI,@somebymi.official_jp,https://www.instagram.com/somebymi.official_jp/,@somebymi_jp,https://x.com/somebymi_jp,-,-
이즈앤트리 (ISNTREE),@isntree_jp,https://www.instagram.com/isntree_jp/,@isntree_jp,https://x.com/isntree_jp,-,-
